"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"IC1";"AZ7042RTRG1";1;"ZXTR2005Z-13";;;
2;"D1";"LED_155124RV73200";1;"LED GRN";;;
3;"R5,R4";"R_1206_3216Metric";2;"10k";;;
4;"C9,C13,C11,C7";"C_1206_3216Metric";4;"0.1uF";;;
5;"U1";"SOIC127P600X175-14N";1;"74HC04";;;
6;"R1,R3,R2";"R_1206_3216Metric";3;"1k";;;
7;"RV1";"3009P1154LF";1;"4k";;;
8;"PS1";"CONV_I7C4W008A120V-0C3-R";1;"I7C4W008A120V-0C3-R";;;
9;"C12,C3,C4";"C_1210_3225Metric";3;"10uF";;;
10;"C6,C5,C8";"CP_Elec_10x12.6";3;"100uF";;;
11;"S1";"EG1247";1;"EG1247";;;
12;"J2";"PHOENIX_2907787";1;"Screw_Terminal_01x04";;;
13;"F1";"FUSC9830X318N";1;"Fuse";;;
14;"J4,J5";"SSM-106-XXX-DV";2;"Conn_02x06_Top_Bottom";;;
15;"J3";"PHOENIX_1803293";1;"Conn_01x04_Socket";;;
16;"C2,C1,C10";"CP_Elec_10x12.6";3;"180uF";;;
17;"J1";"PHOENIX_2907774";1;"Screw_Terminal_01x04";;;
18;"RV2";"3009P1154LF";1;"150k";;;
19;"D2";"LED_155124RV73200";1;"LED RED";;;
